round,frame_id,object,action,rule_or_reason
1,frame_0099.jpg,xe tối sát mép trái (x=0.189 y=0.471),added,Thấy rõ thân xe và cụm đèn sau dù ánh sáng yếu; thêm box ôm sát thân xe theo GUIDELINE_LABEL.md
1,frame_0099.jpg,xe sedan xám làn giữa (x=0.663 y=0.518),edited,Box gợi ý của AI bị hẹp ở đuôi xe (IoU=0.680); kéo lại box bao trọn cả đèn và thân xe theo quy tắc nhìn rõ thân xe
1,frame_0099.jpg,xe SUV đi trước làn phải (x=0.853 y=0.942),accepted,Box AI nhận diện rất chuẩn xác ôm khít thân xe (IoU=1.000); giữ nguyên
1,frame_0107.jpg,xe làn giữa bị dính vệt đèn chiếu (x=0.323 y=0.524),edited,Box AI kéo quá dài xuống mặt đường do dính vệt đèn pha chiếu sáng; thu nhỏ box lại ôm sát thân xe không tính vệt sáng theo guideline
1,frame_0107.jpg,box ảo trên dải phân cách giữa (x=0.474 y=0.467),deleted,Box AI nhận diện nhầm vệt sáng đèn đường và bóng đổ trên dải phân cách bê tông; xóa box theo quy tắc đèn đường và vệt sáng phản chiếu không gán nhãn
1,frame_0107.jpg,xe sedan bị cắt ở mép phải (x=0.970 y=0.721),added,Xe đang đi vào khung hình bị cắt một phần ở mép phải; thêm box cho phần thân xe nằm trong ảnh theo quy tắc xe bị cắt ở mép ảnh
1,frame_0331.jpg,vệt sáng phản chiếu mép dưới đường (x=0.825 y=0.925),deleted,AI gán nhầm vệt phản chiếu ánh sáng đèn xe trên mặt đường cao tốc; xóa box theo quy tắc ánh đèn phản chiếu trên mặt đường không gán nhãn
1,frame_0331.jpg,xe con làn trái sát dải phân cách (x=0.426 y=0.431),edited,Box AI bị lệch lên phía trên thân xe; chỉnh hạ cạnh dưới để ôm sát bánh xe và thân xe
1,frame_0182.jpg,xe tải lớn di chuyển gần camera (x=0.812 y=0.928),added,AI bỏ sót hoàn toàn xe tải lớn ở góc dưới bên phải; thêm box theo quy tắc gán nhãn cho mọi phương tiện từ 4 bánh trở lên kể cả xe tải
1,frame_0326.jpg,xe khuất xa gần đường chân trời (x=0.239 y=0.922),added,Xe tối ở góc dưới bên trái bị AI bỏ sót; thêm box vì vẫn nhìn rõ đèn hậu và đường viền thân xe
